@_STATE,State,Population
1,Alabama,4887871.00
2,Alaska,737438.00
4,Arizona,7171646.00
5,Arkansas,3013825.00
6,California,39557045.00
8,Colorado,5695564.00
9,Connecticut,3572665.00
10,Delaware,967171.00
11,DC,702455.00
12,Florida,21299325.00
13,Georgia,10519475.00
15,Hawaii,1420491.00
16,Idaho,1754208.00
17,Illinois,12741080.00
18,Indiana,6691878.00
19,Iowa,3156145.00
20,Kansas,2911505.00
21,Kentucky,4468402.00
22,Louisiana,4659978.00
23,Maine,1338404.00
24,Maryland,6042718.00
25,Massachusetts,6902149.00
26,Michigan,9995915.00
27,Minnesota,5611179.00
28,Mississippi,2986530.00
29,Missouri,6126452.00
30,Montana,1062305.00
31,Nebraska,1929268.00
32,Nevada,3034392.00
33,New Hampshire,1356458.00
34,New Jersey,8908520.00
35,New Mexico,2095428.00
36,New York,19542209.00
37,North Carolina,10383620.00
38,North Dakota,760077.00
39,Ohio,11689442.00
40,Oklahoma,3943079.00
41,Oregon,4190713.00
42,Pennsylvania,12807060.00
44,Rhode Island,1057315.00
45,South Carolina,5084127.00
46,South Dakota,882235.00
47,Tennessee,6770010.00
48,Texas,28701845.00
49,Utah,3161105.00
50,Vermont,626299.00
51,Virginia,8517685.00
53,Washington,7535591.00
54,West Virginia,1805832.00
55,Wisconsin,5813568.00
56,Wyoming,577737.00
66,Guam,3195153.00
72,Puerto Rico,
