@_STATE,State_x,pop_unde18,Population,Total_under18,drug_violations_under18,Total_allages,drug_violations_allages,per_und18_arrest,per_und18_drugarrest,per_arrest,per_drugarrest,State_y,Medical,Recreational,Prohibited
1,Alabama,1089840.0,4887871.0,3578.0,130.0,126404.0,8217.0,0.003283051,0.00011928399999999999,0.025860748,0.0016811,Alabama,0.0,0.0,1.0
2,Alaska,183816.0,737438.0,1687.0,183.0,30620.0,1046.0,0.009177656,0.000995561,0.041522135,0.001418424,Alaska,1998.0,2014.0,0.0
4,Arizona,1642657.0,7171646.0,20478.0,3239.0,256785.0,32272.0,0.012466388,0.001971805,0.035805588,0.004499943,Arizona,2010.0,0.0,0.0
5,Arkansas,703180.0,3013825.0,7697.0,925.0,120240.0,17954.0,0.010945988,0.0013154529999999998,0.039896145,0.005957214000000001,Arkansas,2016.0,0.0,0.0
6,California,8989955.0,39557045.0,42958.0,2967.0,1093080.0,219251.0,0.004778444000000001,0.000330035,0.027633004,0.005542654,California,1996.0,2016.0,0.0
8,Colorado,1265235.0,5695564.0,17906.0,2257.0,193216.0,16172.0,0.014152312,0.001783858,0.033923945,0.002839403,Colorado,2000.0,2012.0,0.0
9,Connecticut,735193.0,3572665.0,7106.0,489.0,95709.0,8087.0,0.009665489000000001,0.000665131,0.026789246,0.002263576,Connecticut,2012.0,0.0,0.0
10,Delaware,203616.0,967171.0,2851.0,279.0,28742.0,3707.0,0.014001847,0.001370226,0.029717599,0.003832828,Delaware,2011.0,0.0,0.0
11,DC,127494.0,702455.0,505.0,10.0,13682.0,290.0,0.003960971,7.840000000000001e-05,0.019477404,0.000412838,DC,0.0,0.0,0.0
12,Florida,4229081.0,21299325.0,48213.0,5399.0,715424.0,134142.0,0.011400348999999999,0.001276637,0.033589046000000004,0.006297946,Florida,2016.0,0.0,0.0
13,Georgia,2505751.0,10519475.0,15400.0,2053.0,200643.0,37291.0,0.006145861999999999,0.000819315,0.01907348,0.0035449490000000004,Georgia,0.0,0.0,1.0
15,Hawaii,303414.0,1420491.0,1762.0,337.0,24487.0,1873.0,0.005807247,0.001110694,0.017238406,0.0013185579999999998,Hawaii,2000.0,0.0,0.0
16,Idaho,446972.0,1754208.0,5993.0,928.0,52292.0,8777.0,0.013407998999999999,0.002076193,0.029809464,0.005003398,Idaho,0.0,0.0,1.0
17,Illinois,2857266.0,12741080.0,7366.0,834.0,86947.0,17060.0,0.002577989,0.000291887,0.006824146999999999,0.001338976,Illinois,2013.0,2019.0,0.0
18,Indiana,1568130.0,6691878.0,8831.0,1155.0,125536.0,25058.0,0.005631548,0.000736546,0.018759457,0.0037445390000000003,Indiana,0.0,0.0,1.0
19,Iowa,730767.0,3156145.0,,,,,,,,,Iowa,0.0,0.0,1.0
20,Kansas,705961.0,2911505.0,1639.0,202.0,32837.0,2242.0,0.002321658,0.000286135,0.011278358999999998,0.0007700480000000001,Kansas,0.0,0.0,1.0
21,Kentucky,1008829.0,4468402.0,2985.0,257.0,205075.0,19355.0,0.0029588759999999996,0.000254751,0.045894483,0.004331526,Kentucky,0.0,0.0,1.0
22,Louisiana,1095916.0,4659978.0,16533.0,1496.0,176520.0,30437.0,0.01508601,0.0013650679999999999,0.037880007,0.006531576,Louisiana,2015.0,0.0,0.0
23,Maine,250404.0,1338404.0,2845.0,304.0,40851.0,3692.0,0.01136164,0.001214038,0.030522174,0.002758509,Maine,1999.0,2016.0,0.0
24,Maryland,1340148.0,6042718.0,17825.0,2046.0,181434.0,31914.0,0.01330077,0.001526697,0.03002523,0.0052813980000000005,Maryland,2014.0,0.0,0.0
25,Massachusetts,1366858.0,6902149.0,4508.0,132.0,101681.0,7125.0,0.003298075,9.66e-05,0.014731788999999999,0.001032287,Massachusetts,0.0,2016.0,0.0
26,Michigan,2164668.0,9995915.0,13267.0,1668.0,235757.0,30320.0,0.006128884,0.000770557,0.023585335,0.003033239,Michigan,2008.0,2018.0,0.0
27,Minnesota,1302615.0,5611179.0,19391.0,1698.0,147370.0,20404.0,0.01488621,0.001303532,0.026263643,0.003636312,Minnesota,2014.0,0.0,0.0
28,Mississippi,706141.0,2986530.0,2453.0,190.0,60902.0,8003.0,0.00347381,0.00026906799999999997,0.020392228000000002,0.0026796990000000002,Mississippi,0.0,0.0,1.0
29,Missouri,1376830.0,6126452.0,15560.0,2018.0,197865.0,32982.0,0.011301323,0.0014656860000000001,0.032296833,0.00538354,Missouri,2018.0,0.0,0.0
30,Montana,229434.0,1062305.0,3722.0,358.0,27357.0,2732.0,0.01622253,0.001560362,0.025752491000000002,0.002571766,Montana,2004.0,0.0,0.0
31,Nebraska,476841.0,1929268.0,6985.0,1006.0,53007.0,8993.0,0.014648488999999999,0.002109718,0.027475187,0.004661353,Nebraska,0.0,0.0,1.0
32,Nevada,688997.0,3034392.0,10026.0,1244.0,140967.0,11238.0,0.014551587,0.0018055229999999999,0.046456424,0.0037035429999999997,Nevada,2000.0,2016.0,0.0
33,New Hampshire,258170.0,1356458.0,3283.0,344.0,46413.0,6522.0,0.012716426999999999,0.001332455,0.034216319,0.0048081109999999995,New Hampshire,2013.0,0.0,0.0
34,New Jersey,1953643.0,8908520.0,11513.0,2769.0,226427.0,48008.0,0.005893093,0.0014173520000000002,0.025416904,0.005388998000000001,New Jersey,2010.0,0.0,0.0
35,New Mexico,482153.0,2095428.0,3203.0,472.0,74786.0,5375.0,0.00664312,0.000978942,0.035690083,0.002565108,New Mexico,2007.0,0.0,0.0
36,New York,4068102.0,19542209.0,14434.0,2643.0,244041.0,69571.0,0.003548092,0.0006496890000000001,0.012487891999999999,0.0035600379999999997,New York,2014.0,0.0,0.0
