@_STATE,State,pop_unde18,Population,Total_under18,drug_violations_under18,Total_allages,drug_violations_allages,per_und18_arrest,per_und18_drugarrest,per_arrest,per_drugarrest
1,Alabama,1089840,4887871,3578,130,126404,8217,0.003283051,0.000119284,0.025860748,0.0016811
2,Alaska,183816,737438,1687,183,30620,1046,0.009177656,0.000995561,0.041522135,0.001418424
4,Arizona,1642657,7171646,20478,3239,256785,32272,0.012466388,0.001971805,0.035805588,0.004499943
5,Arkansas,703180,3013825,7697,925,120240,17954,0.010945988,0.001315453,0.039896145,0.005957214
6,California,8989955,39557045,42958,2967,1093080,219251,0.004778444,0.000330035,0.027633004,0.005542654
8,Colorado,1265235,5695564,17906,2257,193216,16172,0.014152312,0.001783858,0.033923945,0.002839403
9,Connecticut,735193,3572665,7106,489,95709,8087,0.009665489,0.000665131,0.026789246,0.002263576
10,Delaware,203616,967171,2851,279,28742,3707,0.014001847,0.001370226,0.029717599,0.003832828
11,DC,127494,702455,505,10,13682,290,0.003960971,7.84E-05,0.019477404,0.000412838
12,Florida,4229081,21299325,48213,5399,715424,134142,0.011400349,0.001276637,0.033589046,0.006297946
13,Georgia,2505751,10519475,15400,2053,200643,37291,0.006145862,0.000819315,0.01907348,0.003544949
15,Hawaii,303414,1420491,1762,337,24487,1873,0.005807247,0.001110694,0.017238406,0.001318558
16,Idaho,446972,1754208,5993,928,52292,8777,0.013407999,0.002076193,0.029809464,0.005003398
17,Illinois,2857266,12741080,7366,834,86947,17060,0.002577989,0.000291887,0.006824147,0.001338976
18,Indiana,1568130,6691878,8831,1155,125536,25058,0.005631548,0.000736546,0.018759457,0.003744539
19,Iowa,730767,3156145,,,,,,,,
20,Kansas,705961,2911505,1639,202,32837,2242,0.002321658,0.000286135,0.011278359,0.000770048
21,Kentucky,1008829,4468402,2985,257,205075,19355,0.002958876,0.000254751,0.045894483,0.004331526
22,Louisiana,1095916,4659978,16533,1496,176520,30437,0.01508601,0.001365068,0.037880007,0.006531576
23,Maine,250404,1338404,2845,304,40851,3692,0.01136164,0.001214038,0.030522174,0.002758509
24,Maryland,1340148,6042718,17825,2046,181434,31914,0.01330077,0.001526697,0.03002523,0.005281398
25,Massachusetts,1366858,6902149,4508,132,101681,7125,0.003298075,9.66E-05,0.014731789,0.001032287
26,Michigan,2164668,9995915,13267,1668,235757,30320,0.006128884,0.000770557,0.023585335,0.003033239
27,Minnesota,1302615,5611179,19391,1698,147370,20404,0.01488621,0.001303532,0.026263643,0.003636312
28,Mississippi,706141,2986530,2453,190,60902,8003,0.00347381,0.000269068,0.020392228,0.002679699
29,Missouri,1376830,6126452,15560,2018,197865,32982,0.011301323,0.001465686,0.032296833,0.00538354
30,Montana,229434,1062305,3722,358,27357,2732,0.01622253,0.001560362,0.025752491,0.002571766
31,Nebraska,476841,1929268,6985,1006,53007,8993,0.014648489,0.002109718,0.027475187,0.004661353
32,Nevada,688997,3034392,10026,1244,140967,11238,0.014551587,0.001805523,0.046456424,0.003703543
33,New Hampshire,258170,1356458,3283,344,46413,6522,0.012716427,0.001332455,0.034216319,0.004808111
34,New Jersey,1953643,8908520,11513,2769,226427,48008,0.005893093,0.001417352,0.025416904,0.005388998
35,New Mexico,482153,2095428,3203,472,74786,5375,0.00664312,0.000978942,0.035690083,0.002565108
36,New York,4068102,19542209,14434,2643,244041,69571,0.003548092,0.000649689,0.012487892,0.003560038
37,North Carolina,2300645,10383620,11088,1414,200411,26936,0.004819518,0.00061461,0.019300687,0.002594086
38,North Dakota,178698,760077,4009,429,33210,5448,0.022434498,0.002400698,0.043692942,0.007167695
39,Ohio,2593325,11689442,20003,1675,218433,39708,0.007713264,0.000645889,0.01868635,0.003396912
40,Oklahoma,956486,3943079,7701,1146,101053,17766,0.008051346,0.001198136,0.025627942,0.004505616
41,Oregon,873567,4190713,8618,1653,125230,13605,0.009865299,0.001892242,0.029882743,0.003246464
42,Pennsylvania,2648911,12807060,36034,3231,345822,61934,0.013603326,0.001219747,0.02700245,0.004835926
44,Rhode Island,205213,1057315,2373,104,25996,2049,0.011563595,0.000506791,0.024586807,0.001937928
45,South Carolina,1105945,5084127,10803,1957,152664,34105,0.009768117,0.001769527,0.030027574,0.006708133
46,South Dakota,217606,882235,4886,819,44268,8108,0.022453425,0.003763683,0.050177107,0.009190295
47,Tennessee,1506220,6770010,19692,2380,330989,47876,0.013073787,0.001580114,0.048890474,0.007071777
48,Texas,7398099,28701845,55458,9893,729902,139188,0.00749625,0.001337235,0.025430491,0.004849444
49,Utah,932462,3161105,12307,2258,104886,19562,0.013198393,0.002421546,0.03318017,0.006188342
50,Vermont,115973,626299,702,38,14334,902,0.006053133,0.000327662,0.022886832,0.001440207
51,Virginia,1869792,8517685,15864,2132,268094,45409,0.008484366,0.001140234,0.031474984,0.005331143
53,Washington,1663285,7535591,10996,1053,171466,11283,0.006611014,0.000633085,0.022754154,0.001497295
54,West Virginia,364160,1805832,496,67,29202,6044,0.001362039,0.000183985,0.016170939,0.003346934
55,Wisconsin,1276103,5813568,35109,3150,245015,31066,0.027512669,0.002468453,0.042145374,0.005343706
56,Wyoming,134775,577737,3191,580,28437,4895,0.023676498,0.004303469,0.049221359,0.008472713
66,Guam,,3195153,,,,,,,,
72,Puerto Rico,594011,,,,,,,,,
