@_STATE,@_STATE,USED_30DAYS
1,6606,0.0
2,5516,0.0
4,32356,0.0
5,26800,0.0
6,71514,1431.0
8,71192,0.0
9,96381,0.0
10,52330,0.0
11,48367,0.0
12,182904,998.0
13,120965,0.0
15,118515,0.0
16,59136,248.0
17,90168,0.0
18,136944,0.0
19,173413,0.0
20,216440,0.0
21,179508,0.0
22,112750,0.0
23,252333,0.0
24,421104,820.0
25,166725,0.0
26,268372,0.0
27,458730,1134.0
28,163604,0.0
29,180699,0.0
30,155700,505.0
31,453654,0.0
32,103104,0.0
33,189321,338.0
34,105060,0.0
35,234955,0.0
36,1287612,0.0
37,174973,0.0
38,213636,221.0
39,497757,675.0
40,210120,0.0
41,243786,0.0
42,260946,0.0
44,246708,0.0
45,487935,463.0
46,327520,0.0
47,242520,291.0
48,538416,0.0
49,517587,0.0
50,327200,0.0
51,526371,0.0
53,695360,0.0
54,264438,247.0
55,274780,0.0
56,249872,238.0
66,108504,68.0
72,348696,194.0
