State,2017,2018,2019,2020
Alaska,154,542,2810,
Arkansas,0,5,135,960
Arizona,4681,6250,11370,
California,43374,47711,47822,58083
Colorado,23407,26891,31486,
Connecticut,632,911,,
DC,150,257,,
Florida,70,1290,10358,15494
Hawaii,48,860,,
Ilinois,954,1668,3020,
Maine,470,942,,
Maryland,0,559,3183,
Massachussetts,1283,1873,3020,12584
Michigan,7825,12515,,
Nevada,2302,4193,11766,
New Jersey,199,516,2350,
New York,334,1341,5067,
Oklahoma,0,0,2107,4407
Oregon,9398,10843,,
Pennsylvania,0,90,3878,
Washington,19694,26556,33591,
