StateID,State,a1217_1718,a1825_1718,a26_1718,a1217_1415,a1825_1415,a26_1415
1,Alabama,36,136,257,37,139,214
2,Alaska,10,30,93,11,34,82
4,Arizona,61,222,518,74,231,430
5,Arkansas,26,86,201,29,86,169
6,California,404,1579,3730,431,1459,3046
8,Colorado,72,289,794,76,266,691
9,Connecticut,41,176,280,44,162,272
10,Delaware,9,36,75,9,37,57
11,DC,5,48,102,5,41,88
12,Florida,191,701,1534,189,652,1311
13,Georgia,90,331,572,99,327,625
15,Hawaii,11,35,106,13,38,95
16,Idaho,18,50,107,19,45,88
17,Illinois,134,477,870,118,444,777
18,Indianna,72,251,473,75,249,436
19,Iowa,25,111,162,23,98,114
20,Kansas,28,94,162,30,96,167
21,Kentucky,41,135,300,40,136,274
22,Louisiana,36,142,290,37,142,249
23,Maine,14,57,182,16,53,158
24,Maryland,62,240,478,66,244,447
25,Massachusetts,79,356,737,78,333,648
26,Michigan,109,418,879,111,372,783
27,Minnesota,56,188,391,49,203,327
28,Mississippi,26,87,166,23,73,115
29,Missouri,55,206,438,61,215,407
30,Montana,12,45,115,11,37,84
31,Nebraska,19,65,96,15,64,86
32,Nevada,33,102,282,30,88,191
33,New Hampshire,15,61,139,16,60,123
34,New Jersey,71,315,526,87,293,515
35,New Mexico,26,74,202,25,71,157
36,New York,167,778,1491,188,801,1530
37,North Carolina,83,311,630,89,332,554
38,North Dakota,5,24,38,6,28,27
39,Ohio,110,419,814,104,394,681
40,Oklahoma,36,124,228,37,119,202
41,Oregon,50,199,680,51,165,443
42,Pennsylvania,96,448,890,111,442,786
44,Rhode Island,11,56,122,12,57,101
45,South Carolina,39,144,279,44,166,298
46,South Dakota,8,27,52,7,26,41
47,Tennessee,60,223,465,57,189,360
48,Texas,234,808,1354,276,771,1166
49,Utah,28,93,133,26,81,104
50,Vermont,8,37,85,7,36,68
51,Virginia,65,272,486,71,270,455
53,Washington,80,312,986,83,261,693
54,West Virginia,14,52,134,16,57,101
55,Wisconsin,56,189,375,63,201,320
56,Wyoming,5,18,36,6,17,29
